Label;Category;Denomination;Content;Rock type;Location;Producer;Amount;Comments;Link
JG-1A;Certified;Replacement sample of JG-1;Granodiorite;Granodiorite;;Geological Survey of Japan;3.39 g;Samples: 1 small jar;http://www.geostandards.lanl.gov/AllAnalytes/All-JG-1A_1.html
JG-2;Certified;;Granite;Granite;Naegi granite, Cretaceous, Hirukawa-mura, Gifu Prefecture, JPN;Geological Survey of Japan;;Samples: 2 large jars, 1 small jar, Split 5 Position 37 (32? unleserlich), Split 4 Position 69;http://www.geostandards.lanl.gov/AllAnalytes/All-JG-2_1.html
JG-2 (N);Certified;;Granite;Granite;;;15.4 g;Samples: 2 small jars, gemahlen;
JG-3;;;;;Mitoya granodiorite, 54 Ma, Mitoya-cho, Simane Prefecture, JPN;Geological Survey of Japan;0 g;;http://www.geostandards.lanl.gov/AllAnalytes/All-JG-3_1.html
JGb-1;Certified;;Gabbro;Gabbro;Utsushigatake, 103 Ma, Funehiki-machi, Fukushima Prefecture, JPN;Geological Survey of Japan;;Samples: 1 large jar, 1 small jar, Split 7 Position 1, Split 10 Position 25;http://www.geostandards.lanl.gov/AllAnalytes/All-JGb-1_1.html
JGb-1 M;Certified;;Gabbro;Gabbro;;;;Samples: 1 small jar;
JLA 2999;Certified;;Soil;Soil;;;;Samples: 1 medium jar, 1 small jar;
JLk-1;Certified;;Aquatic Sediment;Lake Sediment;Lake Biwa, fresh water lake sediment, Shiga Prefecture, JPN;Geological Survey of Japan;;Samples: 1 large jar, 1 small jar, Split 5 Position 54;http://www.geostandards.lanl.gov/AllAnalytes/All-JLk-1_1.html
JLs-1;Certified;;Limestone;Limestone;Garo limestone, Triassic, Kamiiso-cho Hokkaido, JPN;Geological Survey of Japan;;Samples: 1 large jar, 1 small jar, Split 6 Positon 76;http://www.geostandards.lanl.gov/AllAnalytes/All-JLs-1_1.html
JP-1;Certified;;Peridotite;Peridotite;Horoman peridotite, Horoman, Hokkaido, JPN;Geological Survey of Japan; 3.29 g;Samples: 1 large jar, 1 small jar, Split 2 Position 13;http://www.geostandards.lanl.gov/AllAnalytes/All-JP-1_1.html
JR-1;Certified;;Rhyolite;Rhyolite;Wada Toge obsidian, 0,8Ma, Wada-mura, Nagano Prefecture, JPN;Geological Survey of Japan;;Samples: 1 large jar, 1 small jar, Split 5 Position 92;http://www.geostandards.lanl.gov/AllAnalytes/All-JR-1_1.html
JSd-2;Certified;;Aquatic Sediment;Stream Sediment;Composite sample of eastern Ibaraki Prefecture, JPN;Geological Survey of Japan;;Samples: 1 large jar, 2 small jars, Split 2 Position 8;http://www.geostandards.lanl.gov/AllAnalytes/All-JSd-2_1.html
JSd-3;Certified;;Aquatic Sediment;Stream Sediment;Composite sample of eastern Ibaraki Prefecture, JPN;Geological Survey of Japan;;Samples: 1 large jar, 1 small jar, Split 2 Position 4;http://www.geostandards.lanl.gov/AllAnalytes/All-JSd-3_1.html
JSl-1;Certified;;Slate;Slate;Toyama clay slate, Permian, Toyama-cho, Miyagi Prefecture, JPN;Geological Survey of Japan;;Samples: 1 large jar, 1 small jar, Split 9 Position 68;http://www.geostandards.lanl.gov/AllAnalytes/All-JSl-1_1.html
K7;Certified;;;Zircon;;;;Samples: 1 small jar, ICRM;
K8;Certified;;;Zircon;;;;Samples: 1 small jar, ICRM;
KB;Certified;;Basalt;Basalt;Min.Inst. Freiberg;;;Samples: 1 small jar;
KC-1a;Certified;;;Zinc-Lead-Tin-Silver Ore;;;;Samples: 1 large jar, 1 small jar, Oct. 1983;
KeinName;;;;;;;;Samples: 1 small jar, 80 FeO, 20 Fe2O3;
KH(3);Certified;;Limestone;Limestone;DDR;;;Samples: 1 small jar;
KK;Göttinger Hausstandard;;;;;;;Samples: 1 small jar;
KK 61;Göttinger Hausstandard;;;;;;;Samples: 1 small jar, KK 61 Fl.D 4;
KP;Certified;;Peridotite;Peridotite;Min.Inst. Freiberg;;;Samples: 1 small jar;
KS;KTB-Standard;;;Kupferschiefer;KTB;;;Samples: 1 large jar, 1 small jar;
M 7071;unbekannt ;Monitor_Shoshonit;;Shoshonite;;;;Samples: 1 large jar, 1 small jar, IS 77/7/1;
MA 143;unbekannt ;Konzentrat Minexa;;;;;;Samples: 1 large jar;
MA1;unbekannt ;Mars-1;;F;Marsberg;;;Samples: 1 small jar;
MA-N;Certified;;Granite;Granite;Beauvoir, FRA ;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";~13.8 g;Samples: 2 small jars;http://www.geostandards.lanl.gov/AllAnalytes/All-MA-N_1.html
MARS 1;unbekannt ;MARS1 F;;;;;;Samples: 1 large jar, batch no. 132;
MASS-1;;;Polymetal sulfide;Polymetal Sulfide;USGS laboratory;United States Geological Survey;0 g;;
MB;KTB-Standard;;Basalt;Melilite Basalt;KTB;;;Samples: 1 large jar, 1 small jar;
MESS-1;Certified;;Aquatic Sediment;Marine Sediment;;;;Samples: 1 small jar;
Mica-Fe;Certified;;Mica;Biotite (Mica);Massif de Saint-sylvestre (Massif Central), FRA ;Centre de Recherches Petrographiques et Geochimiques;~6 g;Samples: 1 small jar, 1 paper bag (3077);http://www.geostandards.lanl.gov/AllAnalytes/All-Mica-Fe_1.html
Mica-Mg;Certified;;Mica;Phlogopite (Mica);Bekily, MDG;Centre de Recherches Petrographiques et Geochimiques;10 g;Samples: 4 small jars, 1 paper bag (1968);http://www.geostandards.lanl.gov/AllAnalytes/All-Mica-Mg_1.html
MIL;unbekannt ;;;Milliblilli, Meteorite;;; ~30 g;Samples: 1 small jar;
MP-1a;Certified;;;Zink-Tin-Copper-Lead Ore;Ottawa;Geological Survey of Canada;;Samples: 1 large jar, 1 small jar;
MP-2;;;;W-Mo-ore;Canada;;;Samples: 1 small jar;
MQSB-1;;Mecca Black Shale;Shale;Black Shale;;;0 g;;
MQSB-1 N-2;Certified;;Shale;Mecca Quarry Shale Bed B;Velpen;University of Missouri;;Samples: 1 medium jar, 1 small jar, Kansas City Mo 64110-2499 USA, Indiana Split #-2;
MQSB-1 N-5;Certified;;Shale;Mecca Quarry Shale Bed B;Velpen;University of Missouri;;Samples: 1 medium jar, 1 small jar, Kansas City Mo 64110-2499 USA, Indiana Split #-5;
MRG-1;Certified;CCRMP CAN MET;Gabbro;Gabbro;Mount Royal, Ottawa;Geological Survey of Canada; ~15 g, ~0.9 g;Samples: 1 large jar, 2 small jars;
NBS 1633a;Certified;;;coal fly ash;;;;Samples: 1 small jar;
NBS 1645;Certified;;;River Sediment;;;;Samples: 1 small jar;
NBS 180;Certified;;;High-grade Fluorspar;;;;Samples: 2 small jars;
NBS 27 e;Certified;;;Iron ore ;;;;Samples: 1 small jar;
NBS 688;Certified;;Basalt;Cenocoic basalt flow;Jackpot, NV;;;Samples: 1 small jar, NBS SRM-688;
NBS 99a;Certified;;Feldspar;Soda Feldspar;;;;Samples: 2 small jars;
NBS-1c;Certified;Argillaceous;Limestone;Limestone;;;;Samples: 1 medium jar, 1 small jar;
NCS;Certified;;;chromite;;;;Samples: 1 small jar, NCS DC72304(GBW07202);
NHS-3S;Standard Niederhessen (Dr. Spies);;;;;;;Samples: 1 small jar;
NIM 1476;Certified;NIM 14/76;;;;;;Samples: 1 medium jar, 1 small jar, 7,38 ppm Au;
NIM 2478;Certified;NIM 24/78;;;;;;Samples: 1 medium jar, 1 small jar, 0,83 ppm Au;
NIM-D;Certified;SARM 6  SAVM;Dunite;Dunite;;SABS;;Samples: 1 large jar, 1 small jar, 3 266;
NIM-G;Certified;SARM-1, SAVM;Granite;Granite;;SABS;;Samples: 1 large jar, 2 small jars, 3/336;
